substep,sim_time,dt,structural_mass,catalyst_mass,retention,classification
500,0.039062499999999514,0.000078125,1856.0500783282978,636.5738267069644,0.9209314749095172,Seeding
1000,0.07812499999999868,0.000078125,1854.3508057678634,636.5435984873778,0.9208149984386789,Seeding
1500,0.11718749999999785,0.000078125,1852.6302549625796,636.5132034590749,0.9206937828235806,Seeding
2000,0.15625000000000255,0.000078125,1850.9032755417063,636.4826349684012,0.9205680619245868,Seeding
2500,0.19531250000000866,0.000078125,1849.1761333922395,636.4518872313672,0.9204379808534652,Seeding
3000,0.23437500000001477,0.000078125,1847.4502193860978,636.4209541346933,0.9203036373127249,Seeding
3500,0.27343750000001255,0.000078125,1845.7260472292007,636.3898300619351,0.9201651012917563,Seeding
4000,0.3125000000000048,0.000078125,1844.0038534467076,636.3585093640957,0.9200224271205132,Seeding
4500,0.351562499999997,0.000078125,1842.2837347045895,636.3269866474333,0.9198756593134535,Seeding
5000,0.39062499999998923,0.000078125,1840.5657474120208,636.2952563350577,0.9197248367726688,Transient
5500,0.42968749999998146,0.000078125,1838.8499229757078,636.263312940184,0.9195699944871984,Transient
6000,0.4687499999999737,0.000078125,1837.1362781379132,636.2311514684206,0.9194111642175015,Transient
6500,0.5078124999999715,0.000078125,1835.4248177290924,636.1987664935193,0.9192483766186255,Transient
7000,0.5468749999999915,0.000078125,1833.71554404488,636.166152568211,0.9190816611503057,Transient
7500,0.5859375000000114,0.000078125,1832.0084650824213,636.1333045720404,0.9189110459056512,Transient
8000,0.6250000000000314,0.000078125,1830.3035818089763,636.1002174524214,0.9187365582086077,Transient
