substep,sim_time,dt,structural_mass,catalyst_mass,retention,classification,struct_rep,cat_rep
1000,0.15624999999999736,0.00015625,1851.1554806103172,636.53198538345,0.9205345197695993,Seeding,0.00390307096128756,0.0013394917014802898
2000,0.3125000000000051,0.00015625,1844.2564558684417,636.4076818225838,0.9199894745454643,Seeding,0.0077916553586056345,0.002682315141897008
3000,0.46875000000002953,0.00015625,1837.3883325944687,636.2801473970007,0.9193787422918522,Seeding,0.011665751613312654,0.004028940074998095
4000,0.6250000000000095,0.00015625,1830.554744903433,636.1490397692326,0.9187046715178842,Seeding,0.015525429678334706,0.005379810815207928
5000,0.7812499999999785,0.00015625,1823.756224917726,636.0140257300492,0.9179690796480167,Transient,0.01937076301571795,0.006735356431901554
6000,0.9374999999999474,0.00015625,1816.9926839034745,635.8747825873781,0.9171736304687134,Transient,0.02320182536601428,0.008095992762062573
7000,1.093749999999983,0.00015625,1810.2639447515448,635.7310001384592,0.9163199110312984,Transient,0.027018690162690463,0.009462123179015293
8000,1.2500000000000628,0.00015625,1803.5698222661124,635.5823727684917,0.9154094653998818,Transient,0.030821430451732076,0.010834139013017944
9000,1.4062500000001428,0.00015625,1796.9101233115503,635.4286064610651,0.9144437923189513,Transient,0.03461011888560954,0.012212419833149434
10000,1.5625000000002227,0.00015625,1790.2846471891828,635.2694120632628,0.9134243582272645,Transient,0.038384827699168185,0.013597333727450601
11000,1.7187500000003026,0.00015625,1783.6931938730997,635.10451207103,0.912352589249447,Transient,0.04214562870543248,0.014989237547888121
12000,1.8750000000003826,0.00015625,1777.135564117879,634.9336380180252,0.9112298761253207,Transient,0.04589259329729709,0.016388477185763306
13000,2.031250000000418,0.00015625,1770.6115593896895,634.7565280526686,0.9100575785956231,Transient,0.04962579244908983,0.017795387778174115
14000,2.187500000000276,0.00015625,1764.1209835626053,634.5729287478554,0.9088370235808654,Transient,0.05334529671931415,0.01921029397558075
15000,2.3437500000001337,0.00015625,1757.6636407917981,634.3825902147947,0.9075695128847668,Transient,0.057051176255118456,0.020633510064217007
16000,2.4999999999999916,0.00015625,1751.239334395745,634.1852756675208,0.9062563101635355,Transient,0.06074350079005499,0.02206534023037792
17000,2.6562499999998495,0.00015625,1744.847868274157,633.9807531128046,0.9048986534567109,Transient,0.06442233964436413,0.023506078778420595
18000,2.8124999999997073,0.00015625,1738.489046894509,633.768799948557,0.9034977492090627,Transient,0.06808776172617972,0.024956010295859362
19000,2.9687499999995652,0.00015625,1732.1626753111593,633.549200584637,0.9020547762454287,Transient,0.07173983553274506,0.026415409897285445
20000,3.124999999999423,0.00015625,1725.868559134666,633.3217407234707,0.9005708944401836,Transient,0.07537862915162026,0.027884543328942465
21000,3.281249999999281,0.00015625,1719.6065045431392,633.0862198094733,0.8990472275145729,Transient,0.07900421026185578,0.029363667178268278
22000,3.437499999999139,0.00015625,1713.3763182993891,632.8424418360515,0.897484876630331,Transient,0.08261664613521016,0.030853029092853465
23000,3.593749999998997,0.00015625,1707.1778077281817,632.5902150878084,0.8958849212069933,Transient,0.08621600363735887,0.03235286788810857
24000,3.7499999999988547,0.00015625,1701.010780726746,632.3293572380885,0.8942484121498646,Transient,0.0898023492290817,0.03386341373652044
25000,3.9062499999987126,0.00015625,1694.8750457762264,632.0596925196506,0.8925763763100572,Viable,0.09337574896748241,0.03538488835525282
26000,4.062499999998571,0.00015625,1688.7704119293462,631.7810491454275,0.8908698205388288,Viable,0.09693626850720745,0.03691750512560594
27000,4.218749999998429,0.00015625,1682.6966888277173,631.4932645644194,0.889129724671589,Viable,0.1004839731016612,0.0384614692855765
28000,4.374999999998287,0.00015625,1676.6536866875101,631.1961768485376,0.8873570540506835,Viable,0.10401892760423867,0.04001697803538443
29000,4.531249999998145,0.00015625,1670.6412163023672,630.8896325743294,0.8855527487798572,Viable,0.10754119646952938,0.04158422068330346
