substep,sim_time,dt,structural_mass,catalyst_mass,retention,classification
500,0.039062499999999514,0.000078125,1856.050074681659,636.3912822779461,0.9209225922255345,Seeding
1000,0.07812499999999868,0.000078125,1854.3507911064016,636.1786469842649,0.9207972328492751,Seeding
1500,0.11718749999999785,0.000078125,1852.6302218289798,635.9659833044843,0.9206671344064399,Seeding
2000,0.15625000000000255,0.000078125,1850.9032163891611,635.7532855970379,0.9205325310404693,Seeding
2500,0.19531250000000866,0.000078125,1849.1760405862515,635.5405490577779,0.92039356813448,Seeding
3000,0.23437500000001477,0.000078125,1847.4500852051647,635.327768533719,0.9202503436544864,Seeding
3500,0.27343750000001255,0.000078125,1845.725863865176,635.1149393560804,0.9201029278455485,Seeding
4000,0.3125000000000048,0.000078125,1844.0036130054407,634.9020568149089,0.9199513752870837,Seeding
4500,0.351562499999997,0.000078125,1842.283429206809,634.6891164491471,0.9197957307366519,Seeding
5000,0.39062499999998923,0.000078125,1840.5653687936504,634.4761136097488,0.9196360333347104,Transient
5500,0.42968749999998146,0.000078125,1838.8494630882828,634.2630437336887,0.9194723183036736,Transient
6000,0.4687499999999737,0.000078125,1837.1357287495393,634.0499027469186,0.9193046176304907,Transient
6500,0.5078124999999715,0.000078125,1835.4241705249115,633.8366861404019,0.9191329621940779,Transient
7000,0.5468749999999915,0.000078125,1833.7147906279931,633.6233893812561,0.9189573816741033,Transient
7500,0.5859375000000114,0.000078125,1832.0075969735576,633.4100082607198,0.9187779043779598,Transient
8000,0.6250000000000314,0.000078125,1830.3025904480578,633.1965386353055,0.91859455783942,Transient
